CntCode,CntName,FirstReported,LastReported,LatiN,LongE
101,琉球,1970,1972,26.213083,127.678056
103,大韓民国,1970,2019,37.552361,126.991432
104,北朝鮮,1970,2009,39.0392193,125.7625241
105,中華人民共和国,1973,2019,39.9041999,116.4073963
106,台湾,1970,2019,25.032969,121.565418
107,モンゴル,1970,2019,47.8863988,106.9057439
108,香港,1970,2019,22.264444,114.187222
109,ヴィエトナム共和国,1970,1976,10.8,106.65
110,ベトナム,1971,2019,21.0277644,105.8341598
111,タイ,1970,2019,13.7563309,100.5017651
112,シンガポール,1970,2019,1.355429,103.867722
113,マレーシア,1970,2019,3.139003,101.686855
114,マレイシア・サラワク州,1970,1984,1.554444,110.354444
115,マレイシア・サバー州,1970,1984,5.970556,116.097778
116,ブルネイ,1970,2019,4.9030522,114.939821
117,フィリピン,1970,2019,14.5995124,120.9842195
118,インドネシア,1970,2019,-6.2087634,106.845599
120,カンボジア,1970,2019,11.5563738,104.9282099
121,ラオス,1970,2019,17.9757058,102.6331035
122,ミャンマー,1970,2019,19.7633057,96.0785104
123,インド,1970,2019,28.6139391,77.2090212
124,パキスタン,1970,2019,33.6844202,73.0478848
125,スリランカ,1970,2019,6.8867616,79.9187142
126,モルディブ,1970,2019,4.1754959,73.5093474
127,バングラデシュ,1972,2019,23.810332,90.4125181
128,東ティモール,1970,2012,-8.5568557,125.5603143
129,マカオ,1976,2019,22.16667,113.55
130,アフガニスタン,1970,2019,34.5553494,69.207486
131,ネパール,1970,2019,27.7172453,85.3239605
132,ブータン,1976,2019,27.4727924,89.6392863
133,イラン,1970,2019,35.6891975,51.3889736
134,イラク,1970,2019,33.3128057,44.3614875
135,バーレーン,1970,2019,26.2285161,50.5860497
136,イエメン民主人民共和国,1970,1990,12.8,45.033333
137,サウジアラビア,1970,2019,24.7135517,46.6752957
138,クウェート,1970,2019,29.375859,47.9774052
139,サウジアラビア・クウェイト中立地帯,1970,1971,,
140,カタール,1970,2019,25.2854473,51.5310398
141,オマーン,1970,2019,23.58589,58.4059227
142,イエメン,1970,1990,15.3694451,44.1910066
143,イスラエル,1970,2019,31.768319,35.21371
144,ヨルダン,1970,2019,31.9453666,35.9283716
145,シリア,1970,2019,33.5138073,36.2765279
146,レバノン,1970,2019,33.8937913,35.5017767
147,アラブ首長国連邦,1972,2019,24.453884,54.3773438
149,イエメン,1990,2019,15.3694451,44.1910066
150,アゼルバイジャン,1992,2019,40.4092617,49.8670924
151,アルメニア,1995,2019,40.1791857,44.4991029
152,ウズベキスタン,1992,2019,41.2994958,69.2400734
153,カザフスタン,1995,2019,51.1605227,71.4703558
154,キルギス,1995,2019,42.8746212,74.5697617
155,タジキスタン,1992,2019,38.5597722,68.7870384
