F,Records,Price,Name
F0001,4126,117188662,魚（乾燥、塩蔵、塩水漬け、くん製、粉、ミール、ペレット）
F0002,394,36786060,馬、ろ馬、ら馬、ヒニー（生きているもの）
F0010,77,4054912,牛（生きているもの）
F0011,57,1425484,豚（生きているもの）
F0014,196,5860382,羊、やぎ、家きん（生きているもの）
F0023,1268,22497235,哺乳類・鳥類（牛・豚・馬・ろ馬・ら馬・ヒニー・羊・やぎ・家きん以外）（生きているもの）
F0024,6709,864865229,軟体動物（牡蠣以外で、いか、スキャロップなど）（生きているもの、生鮮、冷蔵、冷凍、乾燥、塩蔵、塩水漬け、くん製、粉、ミール、ペレット）
F0025,656,53896043,水棲無脊椎動物（なまこ、くらげなど）（生きているもの、生鮮、冷蔵、冷凍、乾燥、塩蔵、塩水漬け、くん製、粉、ミール、ペレット）
F0036,139,566576,骨付きの牛肉（生鮮、冷蔵、冷凍）（くず肉以外）
F0038,1192,124894660,骨付きでない牛肉（生鮮、冷蔵、冷凍）（くず肉以外）
F0042,296,6329435,豚肉（生鮮、冷蔵、冷凍）（くず肉以外）
F0057,134,5129277,牛・豚・家きん以外の肉（生鮮、冷蔵、冷凍）（くず肉以外）
F0058,327,5565541,食用のくず肉（牛、豚、羊、やぎ、馬、ろ馬、ら馬、ヒニー）（生鮮、冷蔵、冷凍）
F0068,240,33076059,家きんの肉・くず肉（生鮮、冷蔵、冷凍）
F0094,2208,28525412,肉・くず肉（塩蔵、塩水漬け、乾燥、くん製、粉、ミール）
F0095,3431,235349857,甲殻類（かに、えびなど）（生きているもの、生鮮、冷蔵、冷凍、乾燥、塩蔵、塩水漬け、くん製、蒸気又は水煮による調理、粉、ミール、ペレット）
F0096,9416,870580898,魚（さけ、まぐろ、かつお、さば以外）（調製、保存処理をしたもの）（いわしの缶詰、かまぼこなど）、キャビア、キャビア代用物
F0097,7852,638953147,甲殻類、軟体動物、水棲無脊椎動物（かに、スキャロップ、なまこなど）（調製、保存処理をしたもの）
F0098,959,290491270,鮭（調製、保存処理をしたもの）
F0099,5313,1008014654,まぐろ、はがつお、かつお（調製、保存処理をしたもの）
F0100,5060,1089077185,さば（調製、保存処理をしたもの）
F0102,2418,162920578,魚（観賞魚、うなぎなど）（生きているもの）
F0110,1493,213033748,魚（まぐろ以外）（生鮮、冷蔵）（魚のフィレ、魚肉を除く）
F0111,1164,19980900,魚のフィレ、魚肉（生鮮、冷蔵）
F0113,647,59087957,まぐろ（生鮮、冷蔵）（魚のフィレ、魚肉を除く）
F0155,744,199768968,鮭、ます（冷凍）（魚のフィレ、魚肉を除く）
F0156,1515,307650154,まぐろ（冷凍）（魚のフィレ、魚肉を除く）
F0157,524,292130361,かつお（冷凍）（魚のフィレ、魚肉を除く）
F0158,1395,254978440,さば（冷凍）（魚のフィレ、魚肉を除く）
F0159,7757,513898756,魚（まぐろ、鮭、ます、かつお、さば以外）（冷凍）（魚のフィレ、魚肉を除く）
F0160,754,25812857,魚肉（冷凍）
F0222,3419,457737149,魚のフィレ（冷凍）
F0289,954,37975871,牡蠣（生きているもの、生鮮、冷蔵、冷凍、乾燥、塩蔵、塩水漬け、くん製、粉、ミール、ペレット）
F0325,2777,44170781,乳製品（ミルク、クリーム、チーズなど）
F0326,5418,118972645,調製食料品（その他の食品）
F0327,3497,200882507,インスタントラーメン、即席めん類
F0328,7294,408834885,酒類（アルコール80％未満）（ワイン・ビール以外）（清酒、発酵酒、蒸留酒、リキュールなど）
F0329,3208,41243038,果実・野菜のジュース（発酵しておらずアルコールを加えてないもの）
F0330,4661,141015435,コーヒー由来の調製品、アイスクリーム、その他の均質混合調製食料品（みりんなど）
F0346,153,8674786,殻付きの鳥卵（生鮮、保存処理、加熱調理）
F0351,467,2942690,殻付きでない鳥卵・卵黄（生鮮、乾燥、蒸気又は水煮による調理、成型、冷凍）
F0355,239,1008175,天然はちみつ
F0357,265,3393057,人髪、獣毛（豚毛、いのししの毛、あなぐまの毛）
F0361,211,10544980,羽毛、綿毛（加工してないもの）
F0363,321,8471355,骨、かめの甲、角、ひづめ、つめ、くちばし
F0367,2357,75556831,その他の動物性生産品（食用でないもの）（貝殻など）
F0368,1456,82274219,さんご
F0372,1810,59217503,地下茎（ゆり根など）、てん菜、さとうきび、その他の植物性生産品
F0374,2321,155320516,生きている植物（花束用・装飾用・食用でないもの）、挿穂、接ぎ穂、きのこ菌糸
F0379,686,7118858,切花及び花芽（花束用、装飾用）
