"","pair1","pair2","Yfrom","Yuntil","correlation","observation","p"
"6743","P0027","P0528",2002,2020,0.474698005248746,920,6.99598052530412e-53
"6744","P0027","P0529",2002,2020,0.422668066948386,625,1.78327540589803e-28
"6758","P0027","P0561",2002,2020,0.358642963107561,623,2.39702831532669e-20
"6777","P0027","P0645",2002,2020,0.305125802633891,1454,1.0496780620846e-32
"6779","P0027","P0654",2012,2020,0.269283623457837,363,1.89466715150462e-07
"6787","P0027","P0670",2002,2020,0.490177441255603,667,1.30749819116918e-41
"6808","P0027","P0717",2002,2020,0.220251584342991,692,4.75594086280016e-09
"6843","P0027","P0786",2002,2020,0.349055575535751,714,6.92835465560066e-22
"6848","P0027","P0800",2002,2020,0.410684614100619,813,2.00011127989174e-34
"6850","P0027","P0802",2002,2020,0.305306226560532,881,1.83747884781929e-20
"6852","P0027","P0804",2002,2020,0.428437691710621,913,4.67592432176246e-42
"6856","P0027","P0816",2002,2020,0.430568189085132,978,2.06477617617866e-45
"6858","P0027","P0818",2002,2020,0.230721184044637,716,4.17419722729981e-10
"6866","P0027","P0834",2007,2020,0.410196219133805,581,5.49625332322432e-25
"6870","P0027","P0840",2002,2020,0.462214589473757,657,4.38532966040039e-36
"6872","P0027","P0851",2002,2020,0.458557766737487,731,2.7336653140249e-39
"6880","P0027","P0876",2002,2020,0.545167430193223,1119,1.2396800780655e-87
"6881","P0027","P0879",2002,2020,0.530388203974722,1359,1.87484500697589e-99
"6882","P0027","P0880",2002,2020,0.519541195038045,890,1.11264167789118e-62
"6884","P0027","P0884",2002,2020,0.34487040871172,1518,1.22340613083338e-43
"6891","P0027","P0898",2017,2020,0.607352022884945,213,7.31960377175888e-23
"6898","P0027","P0906",2002,2020,0.282650815708717,684,4.96279323895086e-14
"6899","P0027","P0907",2002,2020,0.41931099057041,800,2.08068042840749e-35
"6900","P0027","P0908",2002,2020,0.520891598571674,780,1.83251317541284e-55
"6912","P0027","P0931",2002,2020,0.435300899804891,976,2.15289233293817e-46
"6954","P0027","P1071",2002,2016,0.105276188515546,623,0.00854541640573017
"6955","P0027","P1072",2002,2016,0.565986549071213,896,5.08739259260746e-77
"6991","P0027","P1173",2002,2011,0.193962468605528,480,1.87625538555928e-05
"7004","P0027","P1210",2002,2006,0.352819572252387,225,5.36619273813007e-08
"11386","P0038","P0151",2017,2020,0.225196183039122,102,0.0228667406970574
"11420","P0038","P0238",2012,2020,0.348754619433775,351,1.78204452694541e-11
"11449","P0038","P0315",2017,2020,0.426331911184473,117,1.64515637921747e-06
"11625","P0038","P0654",2012,2020,0.196696032079438,367,0.00014919107462268
"11793","P0038","P0889",2017,2020,0.214665534353198,149,0.00856413188793801
"11801","P0038","P0898",2017,2020,0.647092672213355,216,5.14083147423894e-27
"13426","P0041","P0195",2017,2020,-0.284313555361081,155,0.000336686550114165
"13834","P0041","P0898",2017,2020,0.333236827890194,221,3.94628125755137e-07
"27566","P0102","P0179",2017,2020,-0.223223543257076,174,0.0030689207721234
"27569","P0102","P0195",2017,2020,-0.202949801637786,173,0.00740712434396981
"27576","P0102","P0236",2012,2020,-0.107211894760459,352,0.0444189283966249
"27577","P0102","P0238",2012,2020,0.15363462816586,411,0.00178571434505255
"27587","P0102","P0315",2017,2020,0.171618350102099,137,0.0449375083387241
"27601","P0102","P0378",2012,2020,0.148417088283492,372,0.00411985219006861
"27621","P0102","P0528",2012,2020,0.470776814027323,495,1.13949470137937e-28
"27622","P0102","P0529",2012,2020,0.316926621171357,377,3.05023223981179e-10
"27627","P0102","P0561",2012,2020,0.151574603143532,343,0.00490472603733419
"27630","P0102","P0588",2012,2020,0.146044935771634,312,0.00978947384939929
"27644","P0102","P0644",2012,2020,-0.0993552111449002,422,0.0413488994798371
"27645","P0102","P0645",2012,2020,0.136227416563997,683,0.000356518473325758
"27650","P0102","P0670",2012,2020,0.232775826873565,366,6.79551550468663e-06
"27655","P0102","P0689",2012,2020,-0.147127658256709,348,0.00596434450530034
"27660","P0102","P0717",2012,2020,0.105093574038943,395,0.0368105674520266
"27669","P0102","P0749",2012,2020,-0.103466626299355,417,0.0346711972854852
"27675","P0102","P0786",2012,2020,0.120798139622883,402,0.0153788012352224
"27678","P0102","P0800",2012,2020,0.332254337560661,447,5.56087334928451e-13
"27679","P0102","P0802",2012,2020,0.22272991413477,478,8.70930699062684e-07
"27681","P0102","P0804",2012,2020,0.235932248097657,492,1.19115312339855e-07
"27684","P0102","P0816",2012,2020,0.175686150036911,516,6.01062128506327e-05
"27686","P0102","P0818",2012,2020,-0.109449865151298,401,0.0284172583345583
"27689","P0102","P0834",2012,2020,0.112962624272337,421,0.0204312295258953
"27691","P0102","P0840",2012,2020,0.238126345285609,372,3.41174530821639e-06
"27693","P0102","P0851",2012,2020,0.144643282575967,397,0.00387561863300822
"27697","P0102","P0871",2012,2020,0.149133671165953,368,0.00414124479546714
"27698","P0102","P0874",2012,2020,0.155810535460736,346,0.00366642712306487
"27699","P0102","P0876",2012,2020,0.545393814396432,549,7.23881492519762e-44
"27700","P0102","P0879",2012,2020,0.51501448223588,654,1.39463498667542e-45
"27701","P0102","P0880",2012,2020,0.389920401576389,475,1.0699703969237e-18
"27702","P0102","P0884",2012,2020,0.331322747848072,712,1.05574353013539e-19
"27705","P0102","P0898",2017,2020,0.503791000736751,220,1.46292092636875e-15
"27706","P0102","P0902",2012,2020,0.125048927473773,415,0.0107793273776463
"27708","P0102","P0906",2012,2020,0.198941094979725,404,5.65902067564481e-05
"27709","P0102","P0907",2012,2020,0.278167268905971,428,4.8026982586612e-09
"27710","P0102","P0908",2012,2020,0.348762836635553,419,1.98647008073145e-13
"27715","P0102","P0931",2012,2020,0.270618370313026,485,1.38023040057296e-09
"27720","P0102","P0950",2012,2016,-0.306700484415163,305,4.58730867012325e-08
"27729","P0102","P1031",2012,2016,-0.186999671627981,278,0.0017389886344297
"27737","P0102","P1071",2012,2016,0.159553088206785,242,0.0129495677453723
"27738","P0102","P1072",2012,2016,0.474043082101865,341,1.65936739588191e-20
"35587","P0151","P0211",2017,2020,0.512622122544046,86,4.51406310453657e-07
"35593","P0151","P0236",2017,2020,0.448703436226771,96,4.53930961860428e-06
"35594","P0151","P0238",2017,2020,0.595875181277944,127,1.46590882091736e-13
"35639","P0151","P0315",2017,2020,0.492760118176786,110,4.53959237281065e-08
"35672","P0151","P0378",2017,2020,0.310010658760845,125,0.000434329009191625
"35696","P0151","P0436",2017,2020,0.333836009817721,91,0.00122123142501139
