"","x"
"1","F0001"
"2","F0023"
"3","F0024"
"4","F0025"
"5","F0038"
"6","F0042"
"7","F0057"
"8","F0068"
"9","F0094"
"10","F0095"
"11","F0096"
"12","F0097"
"13","F0099"
"14","F0102"
"15","F0110"
"16","F0111"
"17","F0155"
"18","F0159"
"19","F0222"
"20","F0289"
"21","F0325"
"22","F0326"
"23","F0327"
"24","F0328"
"25","F0329"
"26","F0330"
"27","F0346"
"28","F0351"
"29","F0361"
"30","F0363"
"31","F0367"
"32","F0368"
"33","F0372"
"34","F0374"
"35","F0379"
"36","F0386"
"37","F0388"
"38","F0391"
"39","F0410"
"40","F0416"
"41","F0418"
"42","F0432"
"43","F0449"
"44","F0455"
"45","F0484"
"46","F0491"
"47","F0493"
"48","F0496"
"49","F0497"
"50","F0499"
"51","F0517"
"52","F0523"
"53","F0528"
"54","F0529"
"55","F0558"
"56","F0588"
"57","F0589"
"58","F0591"
"59","F0608"
"60","F0620"
"61","F0637"
"62","F0638"
"63","F0644"
"64","F0647"
"65","F0667"
"66","F0683"
"67","F0684"
"68","F0689"
"69","F0726"
"70","F0739"
"71","F0775"
"72","F0786"
"73","F0793"
"74","F0801"
"75","F0806"
"76","F0807"
"77","F0808"
"78","F0811"
"79","F0817"
"80","F0819"
"81","F0820"
"82","F0821"
"83","F0836"
"84","F0873"
"85","F0876"
"86","F0877"
"87","F0878"
"88","F0880"
"89","F0885"
"90","F0890"
"91","F0902"
"92","F0908"
"93","F0911"
"94","F0929"
"95","F0935"
