"","ML3","ML1","ML2","ML8","ML6","ML5","ML4","ML7"
"魚（乾燥、塩蔵、塩水漬け、くん製、粉、ミール、ペレット）",-0.0423218585825052,0.00153427833748965,0.0322028918230409,0.0296420854270547,0.079834086892463,-0.0301143106136443,0.928985129864177,-0.0500595204161876
"哺乳類・鳥類（牛・豚・馬・ろ馬・ら馬・ヒニー・羊・やぎ・家きん以外）（生きているもの）",0.0192746460894833,-0.111691709368976,-0.0268292090120884,0.579482964507398,-0.00679050025618077,0.562894330448056,0.00514736968543977,-0.187531623931714
"軟体動物（牡蠣以外で、いか、スキャロップなど）（生きているもの、生鮮、冷蔵、冷凍、乾燥、塩蔵、塩水漬け、くん製、粉、ミール、ペレット）",0.0700895669479622,-0.00815859589924373,0.166909925048708,0.0371585653179875,0.170060126879418,0.567747356759145,0.0365171694420603,0.0930564017491539
"水棲無脊椎動物（なまこ、くらげなど）（生きているもの、生鮮、冷蔵、冷凍、乾燥、塩蔵、塩水漬け、くん製、粉、ミール、ペレット）",0.814078563209562,-0.0699152673749975,0.0711742897658266,0.107585174257677,0.00311680623536337,0.14092953233769,-0.0218769883366857,-0.144730116082594
"骨付きでない牛肉（生鮮、冷蔵、冷凍）（くず肉以外）",0.451098901633454,0.0308479613828309,0.371878100864977,-0.0379735416922636,-0.0591140305782006,0.0112723855731367,0.0107857826692715,-0.0617663226019082
"豚肉（生鮮、冷蔵、冷凍）（くず肉以外）",0.982266038817806,-0.0162716629602739,-0.0380755116877334,-0.0193078931789102,0.00142227031586273,-0.013159863648346,-0.0723362913539375,0.00555588682080943
"牛・豚・家きん以外の肉（生鮮、冷蔵、冷凍）（くず肉以外）",-0.0193711683536737,-0.0351880586332831,-0.0445578437105548,-0.0309626848832567,0.731218344040783,-0.0212593435297975,-0.0442831891360564,-0.125387739804925
"家きんの肉・くず肉（生鮮、冷蔵、冷凍）",0.410475181685333,-0.0678883347005047,-0.076912191646956,-0.0787394578373088,-0.0622653770037409,0.138644833732389,0.425584477472259,0.132289803973744
"肉・くず肉（塩蔵、塩水漬け、乾燥、くん製、粉、ミール）",0.743256060637131,-0.107485080069421,0.220507118998348,-0.00984000704695079,-0.0552900473170007,0.00379884277375232,0.0346052441299479,0.391040072333112
"甲殻類（かに、えびなど）（生きているもの、生鮮、冷蔵、冷凍、乾燥、塩蔵、塩水漬け、くん製、蒸気又は水煮による調理、粉、ミール、ペレット）",0.00456162908098779,-0.0102092616433725,-0.0765589976838665,0.078112494295126,0.483178844973136,0.20353863470584,-0.050504019253446,0.118839471993535
"魚（さけ、まぐろ、かつお、さば以外）（調製、保存処理をしたもの）（いわしの缶詰、かまぼこなど）、キャビア、キャビア代用物",0.0279357417174368,0.0185992784691073,-0.0567066506073413,-0.0178048938410209,0.717221369901959,0.0210655026071109,0.0350507464676919,0.0470279969021607
"甲殻類、軟体動物、水棲無脊椎動物（かに、スキャロップ、なまこなど）（調製、保存処理をしたもの）",0.806937616320197,-0.00952106287069943,0.0505241501306139,-0.0507252001981015,0.13492404373126,0.00973789596465116,0.229746717199491,-0.0808833084391232
"まぐろ、はがつお、かつお（調製、保存処理をしたもの）",-0.0144396636609149,-0.0338004461498805,-0.0946162155494049,-0.0320768095262854,0.756816182685403,-0.0372086549623377,-0.0552538092126654,-0.081787615540284
"魚（観賞魚、うなぎなど）（生きているもの）",-0.0399140586695703,0.0592917297058376,-0.197150698683839,0.89817849014902,0.0305552725321035,-0.148412800172163,0.0204754212700375,-0.0313592375036942
"魚（まぐろ以外）（生鮮、冷蔵）（魚のフィレ、魚肉を除く）",0.0902725011583752,-0.0915794187378818,0.088861890419255,0.803175464614787,-0.0594921986148001,-0.156290505626008,-0.00699108453482064,-0.0523852599235258
"魚のフィレ、魚肉（生鮮、冷蔵）",0.767939432585274,-0.0096370786849114,0.103713013144458,0.0123361930797867,0.0293639738174648,-0.00478891837578081,-0.0113841240864464,-0.0185221101914219
"鮭、ます（冷凍）（魚のフィレ、魚肉を除く）",-0.0827582928139531,-0.0212494853764022,-0.0522819268871877,-0.0580169207944117,-0.0437370923557952,0.6540526165748,-0.0141550591011834,0.0538137474961468
"魚（まぐろ、鮭、ます、かつお、さば以外）（冷凍）（魚のフィレ、魚肉を除く）",-0.0614586347334036,-0.0276046192046864,-0.0497919202734369,0.12527757943173,0.313213354624528,0.44642985466232,-0.00903189781802862,0.0213954541289128
"魚のフィレ（冷凍）",-0.0266012567991943,-0.0640018779477118,0.5901006360311,-0.0373922929783402,0.590496984095667,-0.0439000358294837,-0.00143919391260573,-0.200275388941992
"牡蠣（生きているもの、生鮮、冷蔵、冷凍、乾燥、塩蔵、塩水漬け、くん製、粉、ミール、ペレット）",0.517991888903875,0.100784453012061,-0.116217026126591,0.0279517236550809,0.171332002098763,0.0945010126705096,0.135445363484717,0.103441223386164
"乳製品（ミルク、クリーム、チーズなど）",0.538491415502595,0.218536977686172,-0.0513198989936545,0.028468133154101,0.00130132802769435,0.114900720890441,-0.0329049224305555,0.0698744734800253
"調製食料品（その他の食品）",-0.0372145992963788,0.0845704926494846,-0.0816804256021437,0.194442771781988,0.310900680202474,-0.00867927121199537,0.0587648454147483,0.441409498052763
"インスタントラーメン、即席めん類",0.320347017545524,0.0683873413059134,0.224730704691712,0.00584132393783932,0.351392588888705,0.0426607336021252,0.308057877275104,0.248328490461587
"酒類（アルコール80％未満）（ワイン・ビール以外）（清酒、発酵酒、蒸留酒、リキュールなど）",0.215904995235601,0.115327221546765,0.686677321184171,0.126993140974218,0.0911272044482364,0.212416302207897,0.00279001273910706,-0.00391734813584031
"果実・野菜のジュース（発酵しておらずアルコールを加えてないもの）",0.294846273885693,0.198528265716602,0.259978437467727,0.430874575751254,-0.0298479416400658,0.117419067280505,0.0220405950474582,-0.0991299232779659
"コーヒー由来の調製品、アイスクリーム、その他の均質混合調製食料品（みりんなど）",0.174917330442437,0.40113545182871,0.0722500712608945,0.218142179727579,0.0362934090674247,0.256640873318562,0.0135843324039638,0.051843582257109
"殻付きの鳥卵（生鮮、保存処理、加熱調理）",1.00409833190372,-0.0654674888418143,-0.0526320369757953,-0.00911303552521427,0.00629923287617858,-0.0824198984726299,-0.0906325126709105,-0.014513094976347
"殻付きでない鳥卵・卵黄（生鮮、乾燥、蒸気又は水煮による調理、成型、冷凍）",0.237039696188011,-0.108855313446289,0.182896688396891,0.580138307017814,-0.0318553479513303,-0.144801483604044,-0.0041334312927041,-0.05941384474394
"羽毛、綿毛（加工してないもの）",-0.094502907196862,0.0360303428342186,-0.0287401426884347,-0.0701864475644662,-0.0524000385760392,0.874043997073022,-0.00585317891895955,-0.0376972406345836
"骨、かめの甲、角、ひづめ、つめ、くちばし",-0.0331107092668924,-0.0227744061707129,-0.0274238987613962,0.0367597321474843,-0.0791989468239556,-0.0318420914637496,0.721658214030519,-0.0360241192734676
"その他の動物性生産品（食用でないもの）（貝殻など）",-0.0252809984641952,-0.0412155215876532,-0.106783809794394,0.164460345281764,0.00296353568025819,0.0393427384409322,0.562498626245048,0.220464249462936
"さんご",0.0382495399454369,0.780340882540678,-0.033933029788061,-0.00675342602449792,0.0233940347315023,-0.00813534771061781,-0.00960327750665713,-0.052620284118458
"地下茎（ゆり根など）、てん菜、さとうきび、その他の植物性生産品",0.308664519182168,0.0180716531444379,-0.000560832996047827,-0.0339891753122486,0.344084391318296,0.313381125417127,-0.0183315626663928,0.0506865258867183
"生きている植物（花束用・装飾用・食用でないもの）、挿穂、接ぎ穂、きのこ菌糸",0.0728952321093335,0.0628145020591045,-0.0207628149975283,-0.0827178972162008,0.0269772647809734,0.71816174250926,-0.00267704493806655,-0.0100304535477926
"切花及び花芽（花束用、装飾用）",0.485876993556667,-0.0245170499475409,0.569953284833417,0.111019246576774,-0.0616903571360171,0.231267247487002,0.0691111315922265,-0.291429788416683
"植物の葉、枝、草、こけ、地衣（花束用、装飾用）",-0.0490922767878191,0.0594909911635033,0.062117019125754,0.0693591191657473,0.609333666961277,-0.00359359439526347,0.0126364860120185,-0.0583352945402193
"野菜、豆（ねぎ属以外）（生鮮、冷蔵）",0.35525225330144,0.298787282176441,-0.0899379007420534,0.0631661846103288,0.0400643199905994,-0.0236560149903393,0.296753824050346,0.230962306380487
"ねぎ属の野菜（たまねぎ、にんにくなど）（生鮮、冷蔵）",-0.0986249609988115,0.503954941928166,-0.0204582420897971,0.231268793756686,-0.00281112154655552,-0.000741994062309473,0.174168590711452,-0.147928296529683
"きのこ、トリュフ（生鮮、冷蔵）",0.0854388215440224,0.572302408570347,0.0352809942476204,-0.0372793956763506,-0.0836599880214622,0.0143884312419586,0.0426960888362439,0.38108484496994
"野菜（乾燥）",0.243232784976383,0.41512003457898,0.0521026654547307,0.0983825962735631,0.383194807072926,0.02546349743198,-0.00392058135610654,0.217709541365507
"野菜（冷凍）",0.276554297884112,0.102912628695158,0.173393116989187,0.0193268420885859,0.0754473905544492,0.207915776989695,0.0113355368136587,0.33150348373743
"きのこ、トリュフ（しいたけなど）（乾燥）",-0.0497724647364182,-0.0325093481104377,-0.0248981834354694,-0.0356169690919281,0.0568847127951223,-0.0307025608826136,0.970402900711816,-0.0847546106395414
"芋、果実の粉",0.00480383830650718,0.808359726684916,0.335921690983849,-0.0234697172295458,-0.0306293488387765,-0.0835888465273088,-0.0106120796642273,0.0395038645970345
"ナッツ（栗など）（生鮮、乾燥）",-0.0840120912000158,-0.0523993779497787,-0.0149707966008744,-0.0865407289345483,-0.0543007448510804,0.870645034075041,-0.0072965858483213,-0.032994079086025
